Date,Series,Value
11/20/20,ALJAZ,1.6667
11/21/20,ALJAZ,1.6667
11/22/20,ALJAZ,2
11/23/20,ALJAZ,3.3333
11/24/20,ALJAZ,2.6667
11/25/20,ALJAZ,3
11/26/20,ALJAZ,2.6667
11/27/20,ALJAZ,4
11/28/20,ALJAZ,4.3333
11/29/20,ALJAZ,4.6667
11/30/20,ALJAZ,7
12/1/20,ALJAZ,7.3333
12/2/20,ALJAZ,6
12/3/20,ALJAZ,4.3333
12/4/20,ALJAZ,3.6667
12/5/20,ALJAZ,3.6667
12/6/20,ALJAZ,2.3333
12/7/20,ALJAZ,2.6667
12/8/20,ALJAZ,4
12/9/20,ALJAZ,4
12/10/20,ALJAZ,2.6667
12/11/20,ALJAZ,3
12/12/20,ALJAZ,7.3333
12/13/20,ALJAZ,9.3333
12/14/20,ALJAZ,8.3333
12/15/20,ALJAZ,3.6667
12/16/20,ALJAZ,3.3333
12/17/20,ALJAZ,4
12/18/20,ALJAZ,5.6667
12/19/20,ALJAZ,5
12/20/20,ALJAZ,3
12/21/20,ALJAZ,1
12/22/20,ALJAZ,0.6667
12/23/20,ALJAZ,1
12/24/20,ALJAZ,5.3333
12/25/20,ALJAZ,4.6667
12/26/20,ALJAZ,4.3333
12/27/20,ALJAZ,0.3333
12/28/20,ALJAZ,0.3333
12/29/20,ALJAZ,0.3333
12/30/20,ALJAZ,0
12/31/20,ALJAZ,0
1/1/21,ALJAZ,0.3333
1/2/21,ALJAZ,4.6667
1/3/21,ALJAZ,5
1/4/21,ALJAZ,5.3333
1/5/21,ALJAZ,1
1/6/21,ALJAZ,0.6667
1/7/21,ALJAZ,1.3333
1/8/21,ALJAZ,2
1/9/21,ALJAZ,3
1/10/21,ALJAZ,2.3333
1/11/21,ALJAZ,2.6667
1/12/21,ALJAZ,2.3333
1/13/21,ALJAZ,6.3333
1/14/21,ALJAZ,5.6667
1/15/21,ALJAZ,6
1/16/21,ALJAZ,1.3333
1/17/21,ALJAZ,1.6667
1/18/21,ALJAZ,0.6667
1/19/21,ALJAZ,0.6667
1/20/21,ALJAZ,1.3333
1/21/21,ALJAZ,1.6667
1/22/21,ALJAZ,2.6667
1/23/21,ALJAZ,1.3333
1/24/21,ALJAZ,3.3333
1/25/21,ALJAZ,4.6667
1/26/21,ALJAZ,4.6667
1/27/21,ALJAZ,2.6667
1/28/21,ALJAZ,1.3333
1/29/21,ALJAZ,5
1/30/21,ALJAZ,6.6667
1/31/21,ALJAZ,6.6667
2/1/21,ALJAZ,3.3333
2/2/21,ALJAZ,3.3333
2/3/21,ALJAZ,3.6667
2/4/21,ALJAZ,3.6667
2/5/21,ALJAZ,3.3333
2/6/21,ALJAZ,4.6667
2/7/21,ALJAZ,4.3333
2/8/21,ALJAZ,2.6667
2/9/21,ALJAZ,0.6667
2/10/21,ALJAZ,1
2/11/21,ALJAZ,2.6667
2/12/21,ALJAZ,2.3333
2/13/21,ALJAZ,2
2/14/21,ALJAZ,0.3333
2/15/21,ALJAZ,1.3333
2/16/21,ALJAZ,2.3333
2/17/21,ALJAZ,4
2/18/21,ALJAZ,5.3333
2/19/21,ALJAZ,6
2/20/21,ALJAZ,5.6667
2/21/21,ALJAZ,3.6667
2/22/21,ALJAZ,4
2/23/21,ALJAZ,3.3333
2/24/21,ALJAZ,2.6667
2/25/21,ALJAZ,0.6667
2/26/21,ALJAZ,0.3333
2/27/21,ALJAZ,3.3333
2/28/21,ALJAZ,5
3/1/21,ALJAZ,4.6667
3/2/21,ALJAZ,4.6667
3/3/21,ALJAZ,5
3/4/21,ALJAZ,5
3/5/21,ALJAZ,4.6667
3/6/21,ALJAZ,10
3/7/21,ALJAZ,11
3/8/21,ALJAZ,9
3/9/21,ALJAZ,2.3333
3/10/21,ALJAZ,2
3/11/21,ALJAZ,2
3/12/21,ALJAZ,2
3/13/21,ALJAZ,1.3333
3/14/21,ALJAZ,1.6667
3/15/21,ALJAZ,2.6667
3/16/21,ALJAZ,5.6667
3/17/21,ALJAZ,6
3/18/21,ALJAZ,4.3333
3/19/21,ALJAZ,1.3333
3/20/21,ALJAZ,12
3/21/21,ALJAZ,14.3333
3/22/21,ALJAZ,16
3/23/21,ALJAZ,4.3333
3/24/21,ALJAZ,4
3/25/21,ALJAZ,3.6667
3/26/21,ALJAZ,3.6667
3/27/21,ALJAZ,3
3/28/21,ALJAZ,3.6667
3/29/21,ALJAZ,4
3/30/21,ALJAZ,4
3/31/21,ALJAZ,2.6667
4/1/21,ALJAZ,4.3333
4/2/21,ALJAZ,42.3333
4/3/21,ALJAZ,56
4/4/21,ALJAZ,86.3333
4/5/21,ALJAZ,48.3333
4/6/21,ALJAZ,36
4/7/21,ALJAZ,4
4/8/21,ALJAZ,4
4/9/21,ALJAZ,12.6667
4/10/21,ALJAZ,38.3333
4/11/21,ALJAZ,56
4/12/21,ALJAZ,48.6667
4/13/21,ALJAZ,75.6667
4/14/21,ALJAZ,78.3333
4/15/21,ALJAZ,81.6667
4/16/21,ALJAZ,47.3333
4/17/21,ALJAZ,61.3333
4/18/21,ALJAZ,107.6667
4/19/21,ALJAZ,158.3333
4/20/21,ALJAZ,171
4/21/21,ALJAZ,134.3333
4/22/21,ALJAZ,107
4/23/21,ALJAZ,110.6667
4/24/21,ALJAZ,147
4/25/21,ALJAZ,138.3333
4/26/21,ALJAZ,115
4/27/21,ALJAZ,117.6667
4/28/21,ALJAZ,101.6667
4/29/21,ALJAZ,81
4/30/21,ALJAZ,27.3333
5/1/21,ALJAZ,39.3333
5/2/21,ALJAZ,31.3333
5/3/21,ALJAZ,31
5/4/21,ALJAZ,7.3333
5/5/21,ALJAZ,9.3333
5/6/21,ALJAZ,25
5/7/21,ALJAZ,26.3333
5/8/21,ALJAZ,30.3333
5/9/21,ALJAZ,14
5/10/21,ALJAZ,7
5/11/21,ALJAZ,1.3333
5/12/21,ALJAZ,1
5/13/21,ALJAZ,0.6667
5/14/21,ALJAZ,0.3333
5/15/21,ALJAZ,0
5/16/21,ALJAZ,1.3333
5/17/21,ALJAZ,4
5/18/21,ALJAZ,5
5/19/21,ALJAZ,3.6667
5/20/21,ALJAZ,1
5/21/21,ALJAZ,0
5/22/21,ALJAZ,1.6667
5/23/21,ALJAZ,2
5/24/21,ALJAZ,2.6667
5/25/21,ALJAZ,4
5/26/21,ALJAZ,4.6667
5/27/21,ALJAZ,4.6667
5/28/21,ALJAZ,3.3333
5/29/21,ALJAZ,4.6667
5/30/21,ALJAZ,4
5/31/21,ALJAZ,2.3333
6/1/21,ALJAZ,1.6667
6/2/21,ALJAZ,3.6667
6/3/21,ALJAZ,5
6/4/21,ALJAZ,4.3333
6/5/21,ALJAZ,3
6/6/21,ALJAZ,1.6667
6/7/21,ALJAZ,9.6667
6/8/21,ALJAZ,12.6667
6/9/21,ALJAZ,13.3333
6/10/21,ALJAZ,9.3333
6/11/21,ALJAZ,10.3333
6/12/21,ALJAZ,18.6667
6/13/21,ALJAZ,16.6667
6/14/21,ALJAZ,24.3333
6/15/21,ALJAZ,20.6667
6/16/21,ALJAZ,42
6/17/21,ALJAZ,40.6667
6/18/21,ALJAZ,45.3333
6/19/21,ALJAZ,23
6/20/21,ALJAZ,14
6/21/21,ALJAZ,8
6/22/21,ALJAZ,6.6667
6/23/21,ALJAZ,10.3333
6/24/21,ALJAZ,12.6667
6/25/21,ALJAZ,17.3333
6/26/21,ALJAZ,13.3333
6/27/21,ALJAZ,9.3333
6/28/21,ALJAZ,4.6667
6/29/21,ALJAZ,5
6/30/21,ALJAZ,13
7/1/21,ALJAZ,13.6667
7/2/21,ALJAZ,12.3333
7/3/21,ALJAZ,14.3333
7/4/21,ALJAZ,18.3333
7/5/21,ALJAZ,18.6667
7/6/21,ALJAZ,6.6667
7/7/21,ALJAZ,1.3333
7/8/21,ALJAZ,1
7/9/21,ALJAZ,1
7/10/21,ALJAZ,1
7/11/21,ALJAZ,0.6667
7/12/21,ALJAZ,0.3333
7/13/21,ALJAZ,0.3333
7/14/21,ALJAZ,0.3333
7/15/21,ALJAZ,5
7/16/21,ALJAZ,10
7/17/21,ALJAZ,9.6667
7/18/21,ALJAZ,5
7/19/21,ALJAZ,1.3333
7/20/21,ALJAZ,4.3333
7/21/21,ALJAZ,5.6667
7/22/21,ALJAZ,4.6667
7/23/21,ALJAZ,1.6667
7/24/21,ALJAZ,0.6667
7/25/21,ALJAZ,1
7/26/21,ALJAZ,1
7/27/21,ALJAZ,0.6667
7/28/21,ALJAZ,0.3333
7/29/21,ALJAZ,0.6667
7/30/21,ALJAZ,3
7/31/21,ALJAZ,4.3333
8/1/21,ALJAZ,5.6667
8/2/21,ALJAZ,10
8/3/21,ALJAZ,38
8/4/21,ALJAZ,60
8/5/21,ALJAZ,55
8/6/21,ALJAZ,28.3333
8/7/21,ALJAZ,8.6667
8/8/21,ALJAZ,9.6667
8/9/21,ALJAZ,11.3333
8/10/21,ALJAZ,9.6667
8/11/21,ALJAZ,7.6667
8/12/21,ALJAZ,3
8/13/21,ALJAZ,0.6667
8/14/21,ALJAZ,0
8/15/21,ALJAZ,0
8/16/21,ALJAZ,1.3333
8/17/21,ALJAZ,2.3333
8/18/21,ALJAZ,2.6667
8/19/21,ALJAZ,1.3333
8/20/21,ALJAZ,2
8/21/21,ALJAZ,3.3333
8/22/21,ALJAZ,11
8/23/21,ALJAZ,22
8/24/21,ALJAZ,47.3333
8/25/21,ALJAZ,39.6667
8/26/21,ALJAZ,28
8/27/21,ALJAZ,1.3333
8/28/21,ALJAZ,2.3333
8/29/21,ALJAZ,2.6667
8/30/21,ALJAZ,3
8/31/21,ALJAZ,2.3333
9/1/21,ALJAZ,4
9/2/21,ALJAZ,3.6667
9/3/21,ALJAZ,3.3333
9/4/21,ALJAZ,1
9/5/21,ALJAZ,2
9/6/21,ALJAZ,6.3333
9/7/21,ALJAZ,7.6667
9/8/21,ALJAZ,6.6667
9/9/21,ALJAZ,3.6667
9/10/21,ALJAZ,1.6667
9/11/21,ALJAZ,1.3333
9/12/21,ALJAZ,0
9/13/21,ALJAZ,0.3333
9/14/21,ALJAZ,0.3333
9/15/21,ALJAZ,1.3333
9/16/21,ALJAZ,2.3333
9/17/21,ALJAZ,4
9/18/21,ALJAZ,7
9/19/21,ALJAZ,6.3333
9/20/21,ALJAZ,5.3333
9/21/21,ALJAZ,2.6667
9/22/21,ALJAZ,22.3333
9/23/21,ALJAZ,24.3333
9/24/21,ALJAZ,25.3333
9/25/21,ALJAZ,6.3333
9/26/21,ALJAZ,5.3333
9/27/21,ALJAZ,4.3333
9/28/21,ALJAZ,3.3333
9/29/21,ALJAZ,3.3333
9/30/21,ALJAZ,2.6667
10/1/21,ALJAZ,2.6667
10/2/21,ALJAZ,1.3333
10/3/21,ALJAZ,2.6667
10/4/21,ALJAZ,2.6667
10/5/21,ALJAZ,2.3333
10/6/21,ALJAZ,7.6667
10/7/21,ALJAZ,10.6667
10/8/21,ALJAZ,11.3333
10/9/21,ALJAZ,6
10/10/21,ALJAZ,3.6667
10/11/21,ALJAZ,3
10/12/21,ALJAZ,1
10/13/21,ALJAZ,0.3333
10/14/21,ALJAZ,3.3333
10/15/21,ALJAZ,7
10/16/21,ALJAZ,10.3333
10/17/21,ALJAZ,7.3333
10/18/21,ALJAZ,4.3333
10/19/21,ALJAZ,1.6667
10/20/21,ALJAZ,4
10/21/21,ALJAZ,4.6667
10/22/21,ALJAZ,6.6667
10/23/21,ALJAZ,7.6667
10/24/21,ALJAZ,8.3333
10/25/21,ALJAZ,5.6667
10/26/21,ALJAZ,18.3333
10/27/21,ALJAZ,19.6667
10/28/21,ALJAZ,21.3333
10/29/21,ALJAZ,9.3333
10/30/21,ALJAZ,8.3333
10/31/21,ALJAZ,6.3333
11/1/21,ALJAZ,2.3333
11/2/21,ALJAZ,0.6667
11/3/21,ALJAZ,1
11/4/21,ALJAZ,4
11/5/21,ALJAZ,3.6667
11/6/21,ALJAZ,3.3333
11/7/21,ALJAZ,0.3333
11/8/21,ALJAZ,0
11/9/21,ALJAZ,2.3333
11/10/21,ALJAZ,3.3333
11/11/21,ALJAZ,5
11/12/21,ALJAZ,7.6667
11/13/21,ALJAZ,7
11/14/21,ALJAZ,8
11/15/21,ALJAZ,43
11/16/21,ALJAZ,50
11/17/21,ALJAZ,52.3333
11/18/21,ALJAZ,21.6667
11/19/21,ALJAZ,17.6667
11/20/21,ALJAZ,12.6667
11/21/21,ALJAZ,3.3333
11/22/21,ALJAZ,7.3333
11/23/21,ALJAZ,10.3333
11/24/21,ALJAZ,11.3333
11/25/21,ALJAZ,13.3333
11/26/21,ALJAZ,21.6667
11/27/21,ALJAZ,52
11/28/21,ALJAZ,87.3333
11/29/21,ALJAZ,121.6667
11/30/21,ALJAZ,161
12/1/21,ALJAZ,183.3333
12/2/21,ALJAZ,210.6667
12/3/21,ALJAZ,192.6667
12/4/21,ALJAZ,193
12/5/21,ALJAZ,180
12/6/21,ALJAZ,146.6667
12/7/21,ALJAZ,180.3333
12/8/21,ALJAZ,211.3333
12/9/21,ALJAZ,305
12/10/21,ALJAZ,245.6667
12/11/21,ALJAZ,184
12/12/21,ALJAZ,125
12/13/21,ALJAZ,106.6667
12/14/21,ALJAZ,107.6667
12/15/21,ALJAZ,94.6667
12/16/21,ALJAZ,97.6667
12/17/21,ALJAZ,78.6667
12/18/21,ALJAZ,52.6667
12/19/21,ALJAZ,26.6667
12/20/21,ALJAZ,15.6667
12/21/21,ALJAZ,2.3333
12/22/21,ALJAZ,15.3333
12/23/21,ALJAZ,68.3333
12/24/21,ALJAZ,78.3333
12/25/21,ALJAZ,70
12/26/21,ALJAZ,16.6667
12/27/21,ALJAZ,5
12/28/21,ALJAZ,4
12/29/21,ALJAZ,6.3333
12/30/21,ALJAZ,35
12/31/21,ALJAZ,80.6667
1/1/22,ALJAZ,86.6667
1/2/22,ALJAZ,91
1/3/22,ALJAZ,77.3333
1/4/22,ALJAZ,71.6667
1/5/22,ALJAZ,56
1/6/22,ALJAZ,33.6667
1/7/22,ALJAZ,45.6667
1/8/22,ALJAZ,32.6667
1/9/22,ALJAZ,32
1/10/22,ALJAZ,112
1/11/22,ALJAZ,164.6667
1/12/22,ALJAZ,220
1/13/22,ALJAZ,166.3333
1/14/22,ALJAZ,181
1/15/22,ALJAZ,217.3333
1/16/22,ALJAZ,207.6667
1/17/22,ALJAZ,198.6667
1/18/22,ALJAZ,158.6667
1/19/22,ALJAZ,278
1/20/22,ALJAZ,365.6667
1/21/22,ALJAZ,450.3333
1/22/22,ALJAZ,409.3333
1/23/22,ALJAZ,402.6667
1/24/22,ALJAZ,352.3333
1/25/22,ALJAZ,338.6667
1/26/22,ALJAZ,330.6667
1/27/22,ALJAZ,370.6667
1/28/22,ALJAZ,424.3333
1/29/22,ALJAZ,426
1/30/22,ALJAZ,375.6667
1/31/22,ALJAZ,376.3333
2/1/22,ALJAZ,399.6667
2/2/22,ALJAZ,422
2/3/22,ALJAZ,363
2/4/22,ALJAZ,296.3333
2/5/22,ALJAZ,232.3333
2/6/22,ALJAZ,300.3333
2/7/22,ALJAZ,395
2/8/22,ALJAZ,494
2/9/22,ALJAZ,450
2/10/22,ALJAZ,388.3333
2/11/22,ALJAZ,435.6667
2/12/22,ALJAZ,485.6667
2/13/22,ALJAZ,552.6667
2/14/22,ALJAZ,586.3333
2/15/22,ALJAZ,644.3333
2/16/22,ALJAZ,637
2/17/22,ALJAZ,613.3333
2/18/22,ALJAZ,610.3333
2/19/22,ALJAZ,685.6667
2/20/22,ALJAZ,697.6667
2/21/22,ALJAZ,779.6667
2/22/22,ALJAZ,914.6667
2/23/22,ALJAZ,1040.6667
2/24/22,ALJAZ,1291.6667
2/25/22,ALJAZ,1447.6667
2/26/22,ALJAZ,1661.3333
2/27/22,ALJAZ,1564
2/28/22,ALJAZ,1522
3/1/22,ALJAZ,1422
3/2/22,ALJAZ,1404.3333
3/3/22,ALJAZ,1251.3333
3/4/22,ALJAZ,1222.3333
3/5/22,ALJAZ,1202.6667
3/6/22,ALJAZ,1281.3333
3/7/22,ALJAZ,1275.6667
3/8/22,ALJAZ,1209.3333
3/9/22,ALJAZ,1109.3333
3/10/22,ALJAZ,1054
3/11/22,ALJAZ,1126
3/12/22,ALJAZ,1196
3/13/22,ALJAZ,1238
3/14/22,ALJAZ,1194.3333
3/15/22,ALJAZ,1125
3/16/22,ALJAZ,1132
3/17/22,ALJAZ,1101.3333
3/18/22,ALJAZ,1115.3333
3/19/22,ALJAZ,1083.6667
3/20/22,ALJAZ,1106
3/21/22,ALJAZ,1052.6667
3/22/22,ALJAZ,915
3/23/22,ALJAZ,773.6667
3/24/22,ALJAZ,764.6667
3/25/22,ALJAZ,820.3333
3/26/22,ALJAZ,907.6667
3/27/22,ALJAZ,877
3/28/22,ALJAZ,839
3/29/22,ALJAZ,791.6667
3/30/22,ALJAZ,788.3333
